GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dir Cache,uk.co.spudsoft.dircache,DirCache,0,8,0,0,0,1,0,1,0,1
Dir Cache,uk.co.spudsoft.dircache,File,0,60,0,8,0,17,0,8,0,4
Dir Cache,uk.co.spudsoft.dircache,Node,2,71,1,3,1,17,1,7,0,6
Dir Cache,uk.co.spudsoft.dircache,Directory,0,98,0,10,0,24,0,12,0,7
Dir Cache,uk.co.spudsoft.dircache.impl,DirCacheImpl.Visitor,17,200,1,9,4,32,2,12,1,8
Dir Cache,uk.co.spudsoft.dircache.impl,DirCacheImpl.PathAndNodeList,0,14,0,0,0,5,0,1,0,1
Dir Cache,uk.co.spudsoft.dircache.impl,DirCacheImpl,24,233,2,20,9,70,2,19,0,10
